Timestamp,Date,Year,Month,Day,Hour,Minute,Second,Millisecond,Price UP ($),Price DOWN ($),UP Bid,UP Ask,DOWN Bid,DOWN Ask,Entry Type,Watch Mode Entry,Paper Mode Entry,Notes
1767539853244,2026-01-04T15:17:33.244Z,2026,1,4,15,17,33,244,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539853966,2026-01-04T15:17:33.966Z,2026,1,4,15,17,33,966,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539854499,2026-01-04T15:17:34.499Z,2026,1,4,15,17,34,499,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539854616,2026-01-04T15:17:34.616Z,2026,1,4,15,17,34,616,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539854667,2026-01-04T15:17:34.667Z,2026,1,4,15,17,34,667,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539854689,2026-01-04T15:17:34.689Z,2026,1,4,15,17,34,689,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539854716,2026-01-04T15:17:34.716Z,2026,1,4,15,17,34,716,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539854776,2026-01-04T15:17:34.776Z,2026,1,4,15,17,34,776,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539855420,2026-01-04T15:17:35.420Z,2026,1,4,15,17,35,420,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539855482,2026-01-04T15:17:35.482Z,2026,1,4,15,17,35,482,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539856767,2026-01-04T15:17:36.767Z,2026,1,4,15,17,36,767,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539856812,2026-01-04T15:17:36.812Z,2026,1,4,15,17,36,812,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539856964,2026-01-04T15:17:36.964Z,2026,1,4,15,17,36,964,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539856973,2026-01-04T15:17:36.973Z,2026,1,4,15,17,36,973,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539857005,2026-01-04T15:17:37.005Z,2026,1,4,15,17,37,5,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539857036,2026-01-04T15:17:37.036Z,2026,1,4,15,17,37,36,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539857048,2026-01-04T15:17:37.048Z,2026,1,4,15,17,37,48,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539857051,2026-01-04T15:17:37.051Z,2026,1,4,15,17,37,51,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539857092,2026-01-04T15:17:37.092Z,2026,1,4,15,17,37,92,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539857409,2026-01-04T15:17:37.409Z,2026,1,4,15,17,37,409,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539857986,2026-01-04T15:17:37.986Z,2026,1,4,15,17,37,986,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539857988,2026-01-04T15:17:37.988Z,2026,1,4,15,17,37,988,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539858581,2026-01-04T15:17:38.581Z,2026,1,4,15,17,38,581,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539858694,2026-01-04T15:17:38.694Z,2026,1,4,15,17,38,694,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539858795,2026-01-04T15:17:38.795Z,2026,1,4,15,17,38,795,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539859860,2026-01-04T15:17:39.860Z,2026,1,4,15,17,39,860,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539860451,2026-01-04T15:17:40.451Z,2026,1,4,15,17,40,451,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539861112,2026-01-04T15:17:41.112Z,2026,1,4,15,17,41,112,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539861997,2026-01-04T15:17:41.997Z,2026,1,4,15,17,41,997,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539862186,2026-01-04T15:17:42.186Z,2026,1,4,15,17,42,186,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539862352,2026-01-04T15:17:42.352Z,2026,1,4,15,17,42,352,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539864871,2026-01-04T15:17:44.871Z,2026,1,4,15,17,44,871,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539865637,2026-01-04T15:17:45.637Z,2026,1,4,15,17,45,637,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539867747,2026-01-04T15:17:47.747Z,2026,1,4,15,17,47,747,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539868916,2026-01-04T15:17:48.916Z,2026,1,4,15,17,48,916,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539870773,2026-01-04T15:17:50.773Z,2026,1,4,15,17,50,773,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539872679,2026-01-04T15:17:52.679Z,2026,1,4,15,17,52,679,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539872860,2026-01-04T15:17:52.860Z,2026,1,4,15,17,52,860,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539874544,2026-01-04T15:17:54.544Z,2026,1,4,15,17,54,544,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539877069,2026-01-04T15:17:57.069Z,2026,1,4,15,17,57,69,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539877644,2026-01-04T15:17:57.644Z,2026,1,4,15,17,57,644,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539878497,2026-01-04T15:17:58.497Z,2026,1,4,15,17,58,497,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539879069,2026-01-04T15:17:59.069Z,2026,1,4,15,17,59,69,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539879302,2026-01-04T15:17:59.302Z,2026,1,4,15,17,59,302,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539879352,2026-01-04T15:17:59.352Z,2026,1,4,15,17,59,352,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539879571,2026-01-04T15:17:59.571Z,2026,1,4,15,17,59,571,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539879783,2026-01-04T15:17:59.783Z,2026,1,4,15,17,59,783,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539879982,2026-01-04T15:17:59.982Z,2026,1,4,15,17,59,982,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539880525,2026-01-04T15:18:00.525Z,2026,1,4,15,18,0,525,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539881043,2026-01-04T15:18:01.043Z,2026,1,4,15,18,1,43,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539881047,2026-01-04T15:18:01.047Z,2026,1,4,15,18,1,47,0.3850,0.6150,0.3700,0.4000,0.6000,0.6300,,,,
1767539881220,2026-01-04T15:18:01.220Z,2026,1,4,15,18,1,220,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539881791,2026-01-04T15:18:01.791Z,2026,1,4,15,18,1,791,0.3950,0.6050,0.3800,0.4100,0.5900,0.6200,,,,
1767539881814,2026-01-04T15:18:01.814Z,2026,1,4,15,18,1,814,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539881844,2026-01-04T15:18:01.844Z,2026,1,4,15,18,1,844,0.3850,0.6150,0.3700,0.4000,0.6000,0.6300,,,,
1767539881852,2026-01-04T15:18:01.852Z,2026,1,4,15,18,1,852,0.3900,0.6100,0.3700,0.4100,0.5900,0.6300,,,,
1767539882055,2026-01-04T15:18:02.055Z,2026,1,4,15,18,2,55,0.3850,0.6150,0.3700,0.4000,0.6000,0.6300,,,,
1767539882418,2026-01-04T15:18:02.418Z,2026,1,4,15,18,2,418,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539882625,2026-01-04T15:18:02.625Z,2026,1,4,15,18,2,625,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539883126,2026-01-04T15:18:03.126Z,2026,1,4,15,18,3,126,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539884783,2026-01-04T15:18:04.783Z,2026,1,4,15,18,4,783,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539885745,2026-01-04T15:18:05.745Z,2026,1,4,15,18,5,745,0.4050,0.5950,0.4000,0.4100,0.5900,0.6000,,,,
1767539885941,2026-01-04T15:18:05.941Z,2026,1,4,15,18,5,941,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539886251,2026-01-04T15:18:06.251Z,2026,1,4,15,18,6,251,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539886284,2026-01-04T15:18:06.284Z,2026,1,4,15,18,6,284,0.4000,0.6000,0.3900,0.4100,0.5900,0.6100,,,,
1767539886422,2026-01-04T15:18:06.422Z,2026,1,4,15,18,6,422,0.3950,0.6050,0.3900,0.4000,0.6000,0.6100,,,,
1767539887304,2026-01-04T15:18:07.304Z,2026,1,4,15,18,7,304,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539887804,2026-01-04T15:18:07.804Z,2026,1,4,15,18,7,804,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539888905,2026-01-04T15:18:08.905Z,2026,1,4,15,18,8,905,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539888945,2026-01-04T15:18:08.945Z,2026,1,4,15,18,8,945,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539891826,2026-01-04T15:18:11.826Z,2026,1,4,15,18,11,826,0.3800,0.6200,0.3700,0.3900,0.6100,0.6300,,,,
1767539891864,2026-01-04T15:18:11.864Z,2026,1,4,15,18,11,864,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539891892,2026-01-04T15:18:11.892Z,2026,1,4,15,18,11,892,0.3800,0.6200,0.3700,0.3900,0.6100,0.6300,,,,
1767539891904,2026-01-04T15:18:11.904Z,2026,1,4,15,18,11,904,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539892170,2026-01-04T15:18:12.170Z,2026,1,4,15,18,12,170,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539892776,2026-01-04T15:18:12.776Z,2026,1,4,15,18,12,776,0.3850,0.6150,0.3700,0.4000,0.6000,0.6300,,,,
1767539892828,2026-01-04T15:18:12.828Z,2026,1,4,15,18,12,828,0.3900,0.6100,0.3800,0.4000,0.6000,0.6200,,,,
1767539893783,2026-01-04T15:18:13.783Z,2026,1,4,15,18,13,783,0.3850,0.6150,0.3800,0.3900,0.6100,0.6200,,,,
1767539895838,2026-01-04T15:18:15.838Z,2026,1,4,15,18,15,838,0.3800,0.6200,0.3700,0.3900,0.6100,0.6300,,,,
1767539896535,2026-01-04T15:18:16.535Z,2026,1,4,15,18,16,535,0.3750,0.6250,0.3700,0.3800,0.6200,0.6300,,,,
1767539897680,2026-01-04T15:18:17.680Z,2026,1,4,15,18,17,680,0.3700,0.6300,0.3600,0.3800,0.6200,0.6400,,,,
1767539897864,2026-01-04T15:18:17.864Z,2026,1,4,15,18,17,864,0.3750,0.6250,0.3700,0.3800,0.6200,0.6300,,,,
1767539898295,2026-01-04T15:18:18.295Z,2026,1,4,15,18,18,295,0.3700,0.6300,0.3600,0.3800,0.6200,0.6400,,,,
1767539898668,2026-01-04T15:18:18.668Z,2026,1,4,15,18,18,668,0.3650,0.6350,0.3600,0.3700,0.6300,0.6400,,,,
1767539899135,2026-01-04T15:18:19.135Z,2026,1,4,15,18,19,135,0.3550,0.6450,0.3400,0.3700,0.6300,0.6600,,,,
1767539899142,2026-01-04T15:18:19.142Z,2026,1,4,15,18,19,142,0.3500,0.6500,0.3400,0.3600,0.6400,0.6600,,,,
1767539899175,2026-01-04T15:18:19.175Z,2026,1,4,15,18,19,175,0.3450,0.6550,0.3400,0.3500,0.6500,0.6600,,,,
1767539899177,2026-01-04T15:18:19.177Z,2026,1,4,15,18,19,177,0.3400,0.6600,0.3300,0.3500,0.6500,0.6700,,,,
1767539899191,2026-01-04T15:18:19.191Z,2026,1,4,15,18,19,191,0.3250,0.6750,0.3000,0.3500,0.6500,0.7000,,,,
1767539899216,2026-01-04T15:18:19.216Z,2026,1,4,15,18,19,216,0.3150,0.6850,0.3000,0.3300,0.6700,0.7000,,,,
1767539899315,2026-01-04T15:18:19.315Z,2026,1,4,15,18,19,315,0.3050,0.6950,0.3000,0.3100,0.6900,0.7000,,,,
1767539899823,2026-01-04T15:18:19.823Z,2026,1,4,15,18,19,823,0.3100,0.6900,0.3000,0.3200,0.6800,0.7000,,,,
1767539899861,2026-01-04T15:18:19.861Z,2026,1,4,15,18,19,861,0.3050,0.6950,0.3000,0.3100,0.6900,0.7000,,,,
1767539899891,2026-01-04T15:18:19.891Z,2026,1,4,15,18,19,891,0.3100,0.6900,0.3000,0.3200,0.6800,0.7000,,,,
1767539899903,2026-01-04T15:18:19.903Z,2026,1,4,15,18,19,903,0.3150,0.6850,0.3000,0.3300,0.6700,0.7000,,,,
1767539899905,2026-01-04T15:18:19.905Z,2026,1,4,15,18,19,905,0.3100,0.6900,0.3000,0.3200,0.6800,0.7000,,,,
